conf_ini;rep_ini;rcp_ini;paso;rh0;pozo
-0.2;0.6;-0.2;0;0.4426002195263401;-91.5500000000004
-0.2;0.6;-0.2;1;0.456608197283149;-179.32200000000046
-0.2;0.6;-0.2;2;0.46681603115089787;-263.8439999999993
-0.2;0.6;-0.2;3;0.47418300913763367;-346.59599999999443
-0.2;0.6;-0.2;4;0.4798881307125192;-427.7199999999899
-0.2;0.6;-0.2;5;0.48413061314151634;-507.07999999998583
-0.2;0.6;-0.2;6;0.48761377116517934;-586.3739999999877
-0.2;0.6;-0.2;7;0.4902125921749574;-663.2139999999906
-0.2;0.6;-0.2;8;0.49262685194759853;-740.8739999999934
-0.2;0.6;-0.2;9;0.4939696057326819;-817.0639999999964
-0.2;0.6;-0.2;10;0.4949911229011733;-894.5999999999995
-0.2;0.6;-0.2;11;0.49526233602530473;-970.2200000000013
-0.2;0.6;-0.2;12;0.49550564632493915;-1046.2960000000098
-0.2;0.6;-0.2;13;0.4953870548172663;-1121.6060000000257
-0.2;0.6;-0.2;14;0.4955441641673588;-1197.4140000000434
-0.2;0.6;-0.2;15;0.4956556299223481;-1273.2660000000606
-0.2;0.6;-0.2;16;0.4951833614663079;-1348.4920000000773
-0.2;0.6;-0.2;17;0.4951384149844036;-1423.740000000094
-0.2;0.6;-0.2;18;0.4949713209984882;-1498.6400000001113
-0.2;0.6;-0.2;19;0.4947408423754719;-1573.3780000001288
-0.2;0.6;-0.2;20;0.4948186045043835;-1648.2380000001451
-0.2;0.6;-0.2;21;0.4948472321439339;-1722.9860000001627
-0.2;0.6;-0.2;22;0.4948453134800879;-1798.4480000001795
-0.2;0.6;-0.2;23;0.49490773810015987;-1873.1980000001972
-0.2;0.6;-0.2;24;0.49533195775627914;-1947.4840000002118
-0.2;0.6;-0.2;25;0.49597303279939536;-2021.0680000002226
-0.2;0.6;-0.2;26;0.49677232725001;-2094.3200000002275
-0.2;0.6;-0.2;27;0.49766267237385087;-2168.2160000002295
-0.2;0.6;-0.2;28;0.49878613523258464;-2240.9560000002275
-0.2;0.6;-0.2;29;0.49990218091158084;-2312.8400000002266
-0.2;0.6;-0.2;30;0.5014900301889473;-2384.162000000225
-0.2;0.6;-0.2;31;0.5032280243768966;-2455.5280000002253
-0.2;0.6;-0.2;32;0.5050060827023176;-2525.3740000002263
-0.2;0.6;-0.2;33;0.5075632075348314;-2594.478000000226
-0.2;0.6;-0.2;34;0.5100353206855884;-2662.806000000226
-0.2;0.6;-0.2;35;0.5126228049460398;-2731.032000000229
-0.2;0.6;-0.2;36;0.5154103472939721;-2797.59400000023
-0.2;0.6;-0.2;37;0.5184917608161336;-2862.8420000002343
-0.2;0.6;-0.2;38;0.5217497315995907;-2926.33200000024
-0.2;0.6;-0.2;39;0.5254407092373538;-2988.334000000243
-0.2;0.6;-0.2;40;0.5290500485056211;-3049.4400000002474
-0.2;0.6;-0.2;41;0.5328324810609838;-3109.6100000002543
-0.2;0.6;-0.2;42;0.5367377674711811;-3167.774000000259
-0.2;0.6;-0.2;43;0.5408310878938193;-3225.2680000002647
-0.2;0.6;-0.2;44;0.5446084739696171;-3281.516000000273
-0.2;0.6;-0.2;45;0.5484347540708137;-3336.78000000028
-0.2;0.6;-0.2;46;0.552353210216574;-3389.910000000286
-0.2;0.6;-0.2;47;0.5563735823526885;-3443.3100000002923
-0.2;0.6;-0.2;48;0.560138967517308;-3494.292000000299
-0.2;0.6;-0.2;49;0.5639704169985135;-3544.146000000306
-0.2;0.6;-0.2;50;0.5678383486861147;-3593.154000000309
-0.2;0.6;-0.2;51;0.5717613476577664;-3639.8640000003134
-0.2;0.6;-0.2;52;0.5757141696663475;-3686.5420000003173
