conf_ini;rep_ini;rcp_ini;paso;rh0;pozo
-0.2;0.6;-0.2;0;0.4426002195263316;-9.44
-0.2;0.6;-0.2;1;0.4559005385475149;-18.417999999999996
-0.2;0.6;-0.2;2;0.4653064629427391;-27.051999999999957
-0.2;0.6;-0.2;3;0.47236845542985556;-35.41799999999995
-0.2;0.6;-0.2;4;0.4781857956802263;-43.44399999999998
-0.2;0.6;-0.2;5;0.48358657534391997;-51.528
-0.2;0.6;-0.2;6;0.48679957046180133;-59.494
-0.2;0.6;-0.2;7;0.4889287398256824;-67.45400000000004
-0.2;0.6;-0.2;8;0.49059082417834377;-75.20400000000019
-0.2;0.6;-0.2;9;0.49209545476146327;-83.07400000000028
-0.2;0.6;-0.2;10;0.49301694709673505;-90.85800000000039
-0.2;0.6;-0.2;11;0.4926370732235702;-98.55000000000051
-0.2;0.6;-0.2;12;0.493021873904626;-106.23800000000065
-0.2;0.6;-0.2;13;0.49247371234837556;-113.94600000000074
-0.2;0.6;-0.2;14;0.4913013725423408;-121.64000000000074
-0.2;0.6;-0.2;15;0.49088121444435723;-129.27200000000087
-0.2;0.6;-0.2;16;0.49132658710090205;-136.8900000000008
-0.2;0.6;-0.2;17;0.49112881736066244;-144.49600000000072
-0.2;0.6;-0.2;18;0.4905934487627961;-152.12400000000073
-0.2;0.6;-0.2;19;0.49035682271872966;-159.83000000000067
-0.2;0.6;-0.2;20;0.4897135859013585;-167.29800000000068
-0.2;0.6;-0.2;21;0.4896980800883917;-175.06000000000066
-0.2;0.6;-0.2;22;0.48919558318332385;-182.79200000000063
-0.2;0.6;-0.2;23;0.48936860024480383;-190.29600000000056
-0.2;0.6;-0.2;24;0.4893740218952569;-197.98600000000044
-0.2;0.6;-0.2;25;0.48985539990566307;-205.53000000000043
-0.2;0.6;-0.2;26;0.49056684654265625;-213.17400000000038
-0.2;0.6;-0.2;27;0.4910393109846006;-220.5300000000003
-0.2;0.6;-0.2;28;0.4921256955543789;-228.1700000000003
-0.2;0.6;-0.2;29;0.4936872106569174;-235.27399999999992
-0.2;0.6;-0.2;30;0.49594447548040077;-242.3739999999998
-0.2;0.6;-0.2;31;0.4986199405618311;-249.5719999999997
-0.2;0.6;-0.2;32;0.5007884164084547;-256.5679999999995
-0.2;0.6;-0.2;33;0.5033387002573959;-263.55599999999913
-0.2;0.6;-0.2;34;0.5061310614048291;-270.48399999999884
-0.2;0.6;-0.2;35;0.5083231277173613;-277.3819999999985
