conf_ini;rep_ini;rcp_ini;paso;rh0;pozo
0.7;-0.5;-0.1;96;0.6496630915731835;-53699.45200017295
0.7;-0.5;-0.1;97;0.651384586062375;-53914.6040001763
0.7;-0.5;-0.1;98;0.6531495313490727;-54123.70600017971
0.7;-0.5;-0.1;99;0.654916964384178;-54328.58600018313
0.7;-0.5;-0.1;100;0.6566223228280205;-54526.03000018667
0.7;-0.5;-0.1;101;0.6583907089610033;-54719.406000190145
0.7;-0.5;-0.1;102;0.6600997590244484;-54906.99800019373
0.7;-0.5;-0.1;103;0.6617522914384959;-55088.46000019728
0.7;-0.5;-0.1;104;0.663434777434735;-55264.15000020097
0.7;-0.5;-0.1;105;0.6651538137791034;-55434.738000204656
0.7;-0.5;-0.1;106;0.6668512882325089;-55599.484000208315
0.7;-0.5;-0.1;107;0.6684762906291399;-55758.07400021204
0.7;-0.5;-0.1;108;0.6701556181464505;-55910.046000215814
0.7;-0.5;-0.1;109;0.6718130415486228;-56059.7860002197
0.7;-0.5;-0.1;110;0.6734256651299166;-56202.33400022351
0.7;-0.5;-0.1;111;0.6750730205598957;-56338.54400022728
0.7;-0.5;-0.1;112;0.6767239578799902;-56469.13000023109
0.7;-0.5;-0.1;113;0.6783827005948769;-56595.04200023487
0.7;-0.5;-0.1;114;0.6800085940781183;-56715.69200023865
0.7;-0.5;-0.1;115;0.6816155320470605;-56830.9080002424
0.7;-0.5;-0.1;116;0.6832044878389886;-56940.666000246216
0.7;-0.5;-0.1;117;0.6848172500507853;-57046.79800025008
0.7;-0.5;-0.1;118;0.6863558119697821;-57146.64800025393
0.7;-0.5;-0.1;119;0.6878909501312124;-57244.79600025777
0.7;-0.5;-0.1;120;0.6894232260609159;-57334.4300002616
0.7;-0.5;-0.1;121;0.6910082920473277;-57416.71800026549
0.7;-0.5;-0.1;122;0.6925639426968278;-57496.22600026941
0.7;-0.5;-0.1;123;0.6941174715453297;-57568.474000273316
0.7;-0.5;-0.1;124;0.695655166863024;-57637.52200027728
0.7;-0.5;-0.1;125;0.6972224505611995;-57701.10600028134
0.7;-0.5;-0.1;126;0.6987482604025678;-57759.8000002854
0.7;-0.5;-0.1;127;0.700273020191772;-57814.04200028943
0.7;-0.5;-0.1;128;0.7017656812736486;-57863.366000293565
0.7;-0.5;-0.1;129;0.703325373718212;-57904.68200029765
0.7;-0.5;-0.1;130;0.7049060827033289;-57943.94600030168
0.7;-0.5;-0.1;131;0.7064530571015721;-57977.42200030579
0.7;-0.5;-0.1;132;0.708006103981672;-58006.24000030996
0.7;-0.5;-0.1;133;0.7095068269337481;-58028.938000314025
0.7;-0.5;-0.1;134;0.7110161034531788;-58045.63000031814
0.7;-0.5;-0.1;135;0.7125327700252673;-58061.13600032218
0.7;-0.5;-0.1;136;0.7140169447528444;-58069.15800032628
0.7;-0.5;-0.1;137;0.7155108219907166;-58070.69600033038
0.7;-0.5;-0.1;138;0.717031540760687;-58066.82800033449
0.7;-0.5;-0.1;139;0.7185647422681768;-58059.202000338686
0.7;-0.5;-0.1;140;0.7200952046463689;-58046.25400034281
0.7;-0.5;-0.1;141;0.7215916112974705;-58028.11800034701
0.7;-0.5;-0.1;142;0.7231073215276929;-58006.318000351246
0.7;-0.5;-0.1;143;0.7245671233961533;-57979.81200035538
0.7;-0.5;-0.1;144;0.726042003126072;-57946.38600035959
0.7;-0.5;-0.1;145;0.727543504477353;-57910.042000363814
0.7;-0.5;-0.1;146;0.7290509095972917;-57868.71400036807
0.7;-0.5;-0.1;147;0.7305539979095969;-57822.93000037236
0.7;-0.5;-0.1;148;0.7320462901080157;-57771.568000376734
0.7;-0.5;-0.1;149;0.7335674534577769;-57714.07600038114
0.7;-0.5;-0.1;150;0.73508387478468;-57650.60200038561
0.7;-0.5;-0.1;151;0.7365959619654068;-57583.614000390095
0.7;-0.5;-0.1;152;0.7380865174300755;-57513.17800039462
0.7;-0.5;-0.1;153;0.7395487242114992;-57434.82600039919
0.7;-0.5;-0.1;154;0.7410668442668957;-57352.91200040376
0.7;-0.5;-0.1;155;0.742546627285803;-57267.2820004084
0.7;-0.5;-0.1;156;0.744004241493921;-57174.246000413106
0.7;-0.5;-0.1;157;0.7455743461314926;-57076.11400041787
0.7;-0.5;-0.1;158;0.7470780976616949;-56973.494000422645
0.7;-0.5;-0.1;159;0.7485815049385622;-56865.84200042749
0.7;-0.5;-0.1;160;0.7500933484636207;-56752.01000043235
0.7;-0.5;-0.1;161;0.7516044096343526;-56633.31800043729
0.7;-0.5;-0.1;162;0.7531468752880501;-56509.232000442295
0.7;-0.5;-0.1;163;0.7546930467565702;-56383.418000447324
0.7;-0.5;-0.1;164;0.7562102486471153;-56251.13600045233
0.7;-0.5;-0.1;165;0.7577248072972296;-56111.54600045747
0.7;-0.5;-0.1;166;0.7592465121368953;-55967.216000462584
0.7;-0.5;-0.1;167;0.760747545801935;-55817.7100004677
0.7;-0.5;-0.1;168;0.7622965519514178;-55663.04800047285
0.7;-0.5;-0.1;169;0.7638175574197765;-55503.25000047807
0.7;-0.5;-0.1;170;0.7653407155873454;-55339.65800048327
0.7;-0.5;-0.1;171;0.7668705473478491;-55169.0040004886
0.7;-0.5;-0.1;172;0.7684048836967473;-54993.52600049393
0.7;-0.5;-0.1;173;0.7699579678257698;-54813.676000499276
0.7;-0.5;-0.1;174;0.7715052116438812;-54629.86000050467
0.7;-0.5;-0.1;175;0.7730575519323638;-54438.39600051011
0.7;-0.5;-0.1;176;0.7745987271476785;-54243.21600051553
0.7;-0.5;-0.1;177;0.7761805547157482;-54041.19800052098
0.7;-0.5;-0.1;178;0.7777655575919669;-53833.74800052642
0.7;-0.5;-0.1;179;0.779356041089666;-53620.43800053187
0.7;-0.5;-0.1;180;0.7809427003972478;-53402.71400053736
0.7;-0.5;-0.1;181;0.7825007258305134;-53180.48800054292
0.7;-0.5;-0.1;182;0.7841012065358945;-52952.30800054854
0.7;-0.5;-0.1;183;0.7856658601005836;-52718.66000055423
0.7;-0.5;-0.1;184;0.7872376260354293;-52479.38800055985
0.7;-0.5;-0.1;185;0.7888001964613964;-52236.992000565486
0.7;-0.5;-0.1;186;0.7903749001506724;-51986.70800057113
0.7;-0.5;-0.1;187;0.7919578127969916;-51729.79600057678
0.7;-0.5;-0.1;188;0.7935436036640314;-51468.160000582364
0.7;-0.5;-0.1;189;0.7951455532627371;-51202.57400058794
0.7;-0.5;-0.1;190;0.7967424691933574;-50930.184000593465
0.7;-0.5;-0.1;191;0.7983305021143781;-50653.01000059904
0.7;-0.5;-0.1;192;0.7999033637746515;-50370.33200060467
0.7;-0.5;-0.1;193;0.8014748567441596;-50081.62600061035
0.7;-0.5;-0.1;194;0.8030883947438318;-49787.534000615946
0.7;-0.5;-0.1;195;0.8046966011954835;-49488.1060006215
0.7;-0.5;-0.1;196;0.8063015707029547;-49183.95000062711
0.7;-0.5;-0.1;197;0.8079265972532503;-48874.23400063271
0.7;-0.5;-0.1;198;0.8095442199200608;-48558.68600063821
0.7;-0.5;-0.1;199;0.8111495607952535;-48239.39000064382
0.7;-0.5;-0.1;200;0.812779417054422;-47913.586000649426
0.7;-0.5;-0.1;201;0.8143980851351063;-47582.37600065489
0.7;-0.5;-0.1;202;0.8160161631449003;-47243.93400066026
0.7;-0.5;-0.1;203;0.8176425608985839;-46897.702000665675
0.7;-0.5;-0.1;204;0.819267192344207;-46546.794000671034
0.7;-0.5;-0.1;205;0.820878845666763;-46191.29600067634
0.7;-0.5;-0.1;206;0.8224948209019969;-45830.4800006815
0.7;-0.5;-0.1;207;0.8240938053526865;-45464.76600068642
0.7;-0.5;-0.1;208;0.8257329234912278;-45093.1680006913
0.7;-0.5;-0.1;209;0.827368698384592;-44715.020000696204
0.7;-0.5;-0.1;210;0.8289877661391725;-44331.640000701045
0.7;-0.5;-0.1;211;0.8305872725641111;-43941.7860007058
0.7;-0.5;-0.1;212;0.8322082018217937;-43547.2940007105
0.7;-0.5;-0.1;213;0.8337992535495587;-43147.57000071526
0.7;-0.5;-0.1;214;0.8354070615563931;-42739.52400071989
0.7;-0.5;-0.1;215;0.8370462816195875;-42327.83600072451
0.7;-0.5;-0.1;216;0.8386460695362027;-41910.80800072913
0.7;-0.5;-0.1;217;0.8402497043733337;-41488.37200073368
